legId,searchDate,flightDate,startingAirport,destinationAirport,fareBasisCode,travelDuration,elapsedDays,isBasicEconomy,isRefundable,isNonStop,baseFare,totalFare,seatsRemaining,totalTravelDistance,segmentsDepartureTimeEpochSeconds,segmentsDepartureTimeRaw,segmentsArrivalTimeEpochSeconds,segmentsArrivalTimeRaw,segmentsArrivalAirportCode,segmentsDepartureAirportCode,segmentsAirlineName,segmentsAirlineCode,segmentsEquipmentDescription,segmentsDurationInSeconds,segmentsDistance,segmentsCabinCode
620cd51404373b9bdbbc46a0b657573c,5/29/2022,6/18/2022,LAX,ATL,Y0N,PT4H19M,0,FALSE,FALSE,TRUE,943.26,1028.61,7,1943,1655591400,2022-06-18T15:30:00.000-07:00,1655606940,2022-06-18T22:49:00.000-04:00,ATL,LAX,Delta,DL,Airbus A321,15540,1943,coach
8622d132e890b398c0ad1d62b0232f54,5/3/2022,6/24/2022,CLT,LAX,MA0OA0MQ,PT8H10M,0,FALSE,FALSE,FALSE,479.07,537.1,9,2171,1656073800||1656086520,2022-06-24T08:30:00.000-04:00||2022-06-24T12:02:00.000-04:00,1656078240||1656103200,2022-06-24T09:44:00.000-04:00||2022-06-24T13:40:00.000-07:00,ATL||LAX,CLT||ATL,Delta||Delta,DL||DL,Boeing 717||Airbus A321,4440||16680,228||1943,coach||coach
6f419788769ddb3802d047272ad0a54d,5/2/2022,6/30/2022,LGA,ATL,LAVQA0ML,PT11H54M,1,FALSE,FALSE,FALSE,328.38,382.21,9,1700,1656633540||1656669600,2022-06-30T19:59:00.000-04:00||2022-07-01T06:00:00.000-04:00,1656645360||1656676380,2022-06-30T23:16:00.000-04:00||2022-07-01T07:53:00.000-04:00,MIA||ATL,LGA||MIA,Delta||Delta,DL||DL,Boeing 737-800||Boeing 737-900,11820||6780,1104||596,coach||coach
41f3cd0a63603895e13b5b77630bd84e,6/10/2022,8/4/2022,LAX,SFO,MH7OASMN,PT1H20M,0,FALSE,FALSE,TRUE,189.77,218.6,7,339,1659664800,2022-08-04T19:00:00.000-07:00,1659669600,2022-08-04T20:20:00.000-07:00,SFO,LAX,Alaska Airlines,AS,Embraer 175,4800,339,coach
7f5d8684b672dd3593e30ee946264c31,6/24/2022,7/20/2022,LGA,DFW,LAVQA0BQ,PT6H41M,0,TRUE,FALSE,FALSE,171.16,207.6,9,1487,1658327700||1658343300,2022-07-20T10:35:00.000-04:00||2022-07-20T14:55:00.000-04:00,1658337240||1658351760,2022-07-20T13:14:00.000-04:00||2022-07-20T16:16:00.000-05:00,ATL||DFW,LGA||ATL,Delta||Delta,DL||DL,Airbus A320||Airbus A321,9540||8460,762||725,coach||coach
5b5f142a97c3749a57da4d869b0540e2,4/19/2022,4/30/2022,DFW,DEN,SAA1AKEN,PT2H6M,0,FALSE,FALSE,TRUE,110.7,133.6,9,650,1651356240,2022-04-30T17:04:00.000-05:00,1651363800,2022-04-30T18:10:00.000-06:00,DEN,DFW,United,UA,Airbus A320,7560,650,coach
50cdff822b37c021fda601f0ebec43aa,4/27/2022,6/17/2022,LAX,PHL,QAA3AKEN,PT7H28M,0,FALSE,FALSE,FALSE,560,625.6,9,2417,1655474400||1655493300,2022-06-17T07:00:00.000-07:00||2022-06-17T14:15:00.000-05:00,1655489580||1655501280,2022-06-17T13:13:00.000-05:00||2022-06-17T17:28:00.000-04:00,ORD||PHL,LAX||ORD,United||United,UA||UA,Boeing 757-300||Airbus A320,15180||7980,1745||672,coach||coach
cbfd5d54c96d342db8b3f83e584137d0,6/19/2022,7/3/2022,BOS,IAD,SAA3AHES,PT3H30M,0,FALSE,FALSE,FALSE,96.74,127.6,1,406,1656893400||1656900900,2022-07-03T20:10:00.000-04:00||2022-07-03T22:15:00.000-04:00,1656898680||1656906000,2022-07-03T21:38:00.000-04:00||2022-07-03T23:40:00.000-04:00,EWR||IAD,BOS||EWR,United||United,UA||UA,Embraer 175 (Enhanced Winglets)||Boeing 737-700,5280||5100,185||221,coach||coach
6ec760aa789238e92d907edd90478948,4/28/2022,5/1/2022,MIA,DFW,L3AIZNN1,PT3H20M,0,FALSE,FALSE,TRUE,252.09,285.6,7,1115,1651396800,2022-05-01T05:20:00.000-04:00,1651408800,2022-05-01T07:40:00.000-05:00,DFW,MIA,American Airlines,AA,Boeing 737-800,12000,1115,coach
51d23671ceccf91a1f4b70330db0db87,4/18/2022,5/28/2022,EWR,CLT,NVAHZNB1,PT1H51M,0,TRUE,FALSE,TRUE,124.65,148.6,7,545,1653732600,2022-05-28T06:10:00.000-04:00,1653739260,2022-05-28T08:01:00.000-04:00,CLT,EWR,American Airlines,AA,Boeing 737-800,6660,545,coach
f4043f000d9a362f8d6327056d5ef57c,6/7/2022,7/5/2022,ORD,OAK,QAA3AKEN,PT11H26M,0,FALSE,FALSE,FALSE,504.19,571.2,9,2083,1657043700||1657080300,2022-07-05T12:55:00.000-05:00||2022-07-05T21:05:00.000-07:00,1657059540||1657084860,2022-07-05T15:19:00.000-07:00||2022-07-05T22:21:00.000-07:00,LAX||OAK,ORD||LAX,United||Delta,UA||DL,Boeing 737 MAX 9||Embraer 175 (Enhanced Winglets),15840||4560,1745||338,coach||coach
1c2fe336fdc66e6fb80858a377e47997,5/18/2022,7/12/2022,CLT,PHL,N8AGZNN1,PT5H8M,0,FALSE,FALSE,FALSE,127.44,159.1,10,469,1657625760||1657639200,2022-07-12T07:36:00.000-04:00||2022-07-12T11:20:00.000-04:00,1657629240||1657644240,2022-07-12T08:34:00.000-04:00||2022-07-12T12:44:00.000-04:00,RDU||PHL,CLT||RDU,American Airlines||American Airlines,AA||AA,Airbus A320||Airbus A319,3480||5040,130||339,coach||coach
4ac9efa7de101ee75561ce9100460480,6/11/2022,6/28/2022,DEN,JFK,QAA0OKEN,PT6H20M,0,FALSE,FALSE,FALSE,481.86,541.6,9,1623,1656430800||1656444420,2022-06-28T09:40:00.000-06:00||2022-06-28T14:27:00.000-05:00,1656440100||1656453600,2022-06-28T13:15:00.000-05:00||2022-06-28T18:00:00.000-04:00,ORD||JFK,DEN||ORD,United||Delta,UA||DL,Boeing 777||Canadair Regional Jet 900,9300||9180,903||720,coach||coach
13775e38a6ccbb32322550b37134767b,6/7/2022,7/13/2022,JFK,LAX,MA7OA0MC,PT5H55M,0,FALSE,FALSE,TRUE,375.81,418.6,9,2458,1657710000,2022-07-13T07:00:00.000-04:00,1657731300,2022-07-13T09:55:00.000-07:00,LAX,JFK,Delta,DL,,21300,2458,coach
